area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,Immediate Possession,Kolkata,3 BHK,Oceanic Towers,1571.33,2,3,154.39
Super built-up Area,Under Construction,Kolkata,2 BHK,Oceanic Towers,1508.58,2,3,405.91
Carpet Area,Ready To Move,Mumbai,1 RK,Luxury Enclave,3916.1,2,2,48.52
Carpet Area,Ready To Move,Chennai,4 BHK,Skyline View,4606.93,1,1,239.97
Carpet Area,Under Construction,Mumbai,4 BHK,Skyline View,301.55,4,2,384.8
Super built-up Area,Immediate Possession,Delhi,2 BHK,Dream Homes,1815.68,1,1,120.5
Built-up Area,Under Construction,Hyderabad,2 BHK,Sunrise Residency,4565.54,3,1,449.71
Super built-up Area,Under Construction,Delhi,1 BHK,Luxury Enclave,1026.55,2,0,270.46
Carpet Area,Immediate Possession,Delhi,4 BHK,Green Heights,787.54,1,1,421.88
Super built-up Area,Immediate Possession,Delhi,2 BHK,Luxury Enclave,4952.11,1,3,136.68
Super built-up Area,Ready To Move,Kolkata,2 BHK,Oceanic Towers,4355.22,1,1,462.22
Super built-up Area,Immediate Possession,Pune,2 RK,Luxury Enclave,3159.59,1,3,454.74
Plot Area,Immediate Possession,Hyderabad,1 RK,Palm Meadows,4272.85,1,3,178.55
Super built-up Area,Immediate Possession,Ahmedabad,1 RK,Dream Homes,4866.06,2,0,191.84
Plot Area,Ready To Move,Chennai,1 BHK,Oceanic Towers,1308.14,2,0,338.58
Super built-up Area,Ready To Move,Hyderabad,1 BHK,Dream Homes,2230.08,1,1,463.69
Built-up Area,Ready To Move,Delhi,2 BHK,Dream Homes,717.68,1,0,259.03
Plot Area,Ready To Move,Mumbai,2 BHK,Oceanic Towers,2495.3,4,2,36.47
Plot Area,Immediate Possession,Delhi,4 BHK,Oceanic Towers,723.93,2,3,260.54
Built-up Area,Ready To Move,Pune,2 RK,Skyline View,3288.03,2,1,222.2
Super built-up Area,Under Construction,Pune,1 RK,Oceanic Towers,1351.97,1,1,266.9
Super built-up Area,Immediate Possession,Ahmedabad,1 BHK,Sunrise Residency,3261.89,1,2,419.15
Built-up Area,Under Construction,Pune,4 BHK,Dream Homes,3508.83,1,2,67.17
Super built-up Area,Under Construction,Delhi,3 BHK,Oceanic Towers,2026.88,3,3,263.22
Plot Area,Immediate Possession,Hyderabad,1 RK,Palm Meadows,2049.89,2,0,15.03
Carpet Area,Under Construction,Mumbai,4 BHK,Skyline View,3226.63,3,1,98.91
Built-up Area,Ready To Move,Ahmedabad,1 BHK,Palm Meadows,3574.4,1,1,310.13
Plot Area,Immediate Possession,Mumbai,2 BHK,Sunrise Residency,3566.11,3,2,202.36
Super built-up Area,Immediate Possession,Delhi,1 RK,Dream Homes,3308.81,4,1,61.94
Carpet Area,Under Construction,Kolkata,3 BHK,Dream Homes,3907.08,4,2,324.87
Built-up Area,Immediate Possession,Delhi,3 BHK,Skyline View,3180.0,4,0,495.31
Super built-up Area,Immediate Possession,Kolkata,1 BHK,Skyline View,3568.88,4,1,139.95
Super built-up Area,Under Construction,Ahmedabad,2 BHK,Skyline View,1350.81,3,2,18.96
Carpet Area,Under Construction,Kolkata,4 BHK,Sunrise Residency,1360.72,2,3,358.4
Built-up Area,Under Construction,Mumbai,4 BHK,Sunrise Residency,4485.17,4,0,413.63
Plot Area,Under Construction,Mumbai,1 RK,Sunrise Residency,4645.97,1,3,19.18
Carpet Area,Ready To Move,Hyderabad,3 BHK,Luxury Enclave,1147.48,2,1,158.63
Built-up Area,Immediate Possession,Mumbai,3 BHK,Sunrise Residency,3820.02,4,2,55.74
Super built-up Area,Immediate Possession,Kolkata,2 RK,Sunrise Residency,1469.29,2,2,139.15
Built-up Area,Immediate Possession,Kolkata,2 BHK,Oceanic Towers,4605.6,3,3,314.29
Carpet Area,Immediate Possession,Mumbai,2 RK,Sunrise Residency,1959.23,2,0,32.23
Built-up Area,Under Construction,Kolkata,3 BHK,Dream Homes,4880.83,3,2,327.74
Plot Area,Under Construction,Bangalore,3 BHK,Sunrise Residency,2966.73,3,2,189.4
Super built-up Area,Under Construction,Bangalore,1 BHK,Oceanic Towers,4141.75,3,3,259.68
Plot Area,Immediate Possession,Chennai,4 BHK,Green Heights,4720.11,3,0,470.66
Built-up Area,Under Construction,Mumbai,4 BHK,Luxury Enclave,1289.55,1,3,237.51
Plot Area,Immediate Possession,Chennai,3 BHK,Palm Meadows,4632.98,1,1,437.29
Super built-up Area,Ready To Move,Ahmedabad,2 BHK,Luxury Enclave,2294.47,2,2,218.68
Carpet Area,Under Construction,Bangalore,3 BHK,Oceanic Towers,1752.61,3,3,319.71
Carpet Area,Under Construction,Chennai,1 BHK,Dream Homes,1080.02,2,3,370.1
Super built-up Area,Immediate Possession,Ahmedabad,1 BHK,Palm Meadows,1016.03,4,0,207.33
Plot Area,Under Construction,Bangalore,2 BHK,Sunrise Residency,4071.5,2,2,355.33
Plot Area,Under Construction,Bangalore,3 BHK,Green Heights,1711.56,3,2,49.4
Built-up Area,Ready To Move,Mumbai,1 RK,Green Heights,4575.03,2,0,476.23
Built-up Area,Immediate Possession,Mumbai,4 BHK,Oceanic Towers,2856.96,2,2,213.79
Built-up Area,Under Construction,Chennai,2 RK,Sunrise Residency,3396.37,3,2,262.52
Carpet Area,Immediate Possession,Mumbai,1 BHK,Green Heights,2614.16,1,1,457.88
Built-up Area,Under Construction,Mumbai,4 BHK,Oceanic Towers,4339.65,4,3,104.16
Built-up Area,Ready To Move,Delhi,1 BHK,Palm Meadows,3081.41,4,1,449.63
Super built-up Area,Immediate Possession,Chennai,1 BHK,Sunrise Residency,4285.43,2,2,130.05
Carpet Area,Ready To Move,Mumbai,2 RK,Luxury Enclave,2734.06,4,3,74.21
Carpet Area,Under Construction,Mumbai,2 RK,Luxury Enclave,641.88,2,3,257.74
Plot Area,Immediate Possession,Bangalore,2 BHK,Green Heights,423.4,4,2,456.76
Super built-up Area,Under Construction,Pune,1 BHK,Sunrise Residency,1149.95,1,2,317.43
Carpet Area,Under Construction,Delhi,1 BHK,Skyline View,1401.9,3,3,221.48
Built-up Area,Under Construction,Delhi,1 RK,Luxury Enclave,2516.23,3,3,333.85
Built-up Area,Ready To Move,Chennai,3 BHK,Luxury Enclave,1555.99,2,0,456.89
Super built-up Area,Ready To Move,Kolkata,1 BHK,Green Heights,419.12,4,1,215.76
Super built-up Area,Ready To Move,Hyderabad,2 BHK,Dream Homes,1882.78,4,3,170.66
Carpet Area,Ready To Move,Pune,3 BHK,Dream Homes,4868.25,4,1,334.88
Plot Area,Ready To Move,Mumbai,2 BHK,Dream Homes,3168.88,4,0,348.15
Carpet Area,Ready To Move,Kolkata,2 RK,Dream Homes,4783.08,4,0,132.61
Built-up Area,Ready To Move,Delhi,4 BHK,Oceanic Towers,3548.02,1,1,439.36
Super built-up Area,Under Construction,Bangalore,4 BHK,Oceanic Towers,4437.59,2,3,327.52
Super built-up Area,Ready To Move,Pune,3 BHK,Skyline View,1944.71,2,3,374.85
Built-up Area,Ready To Move,Kolkata,4 BHK,Green Heights,415.82,4,2,371.74
Super built-up Area,Under Construction,Pune,2 RK,Skyline View,2492.64,2,0,458.27
Built-up Area,Under Construction,Delhi,3 BHK,Oceanic Towers,4788.74,2,3,471.24
Super built-up Area,Immediate Possession,Pune,2 BHK,Sunrise Residency,4708.95,4,3,37.15
Plot Area,Immediate Possession,Pune,2 RK,Dream Homes,2190.81,1,2,370.26
Carpet Area,Under Construction,Delhi,1 RK,Skyline View,425.85,2,2,343.09
Carpet Area,Under Construction,Hyderabad,2 BHK,Green Heights,4027.14,2,0,369.48
Super built-up Area,Under Construction,Delhi,2 BHK,Oceanic Towers,2310.56,1,2,158.95
Built-up Area,Immediate Possession,Delhi,1 RK,Sunrise Residency,3173.92,1,1,226.52
Plot Area,Under Construction,Delhi,2 BHK,Dream Homes,315.69,2,2,457.62
Carpet Area,Under Construction,Ahmedabad,2 BHK,Palm Meadows,1202.33,4,3,176.14
Plot Area,Immediate Possession,Bangalore,2 RK,Green Heights,3072.54,2,3,432.56
Built-up Area,Ready To Move,Bangalore,4 BHK,Sunrise Residency,2626.57,4,3,88.16
Built-up Area,Ready To Move,Bangalore,1 RK,Green Heights,861.04,2,2,164.08
Super built-up Area,Immediate Possession,Ahmedabad,3 BHK,Green Heights,4772.41,2,3,141.29
Built-up Area,Under Construction,Delhi,1 BHK,Dream Homes,2942.41,3,1,300.74
Plot Area,Ready To Move,Ahmedabad,3 BHK,Palm Meadows,4407.8,1,2,306.27
Plot Area,Under Construction,Kolkata,1 BHK,Luxury Enclave,3117.01,2,1,494.48
Plot Area,Ready To Move,Pune,2 BHK,Skyline View,3951.83,1,1,215.27
Built-up Area,Under Construction,Mumbai,1 BHK,Palm Meadows,1021.6,4,0,107.59
Built-up Area,Under Construction,Bangalore,2 BHK,Luxury Enclave,4275.44,4,0,75.3
Plot Area,Ready To Move,Delhi,3 BHK,Palm Meadows,4166.64,3,2,358.21
Super built-up Area,Ready To Move,Mumbai,4 BHK,Sunrise Residency,2821.64,1,0,387.16
Plot Area,Under Construction,Kolkata,2 BHK,Oceanic Towers,3730.09,3,2,127.14
Built-up Area,Ready To Move,Bangalore,1 RK,Luxury Enclave,4165.71,4,3,411.42
Super built-up Area,Immediate Possession,Pune,2 RK,Skyline View,2258.62,1,3,237.96
Super built-up Area,Immediate Possession,Mumbai,1 BHK,Green Heights,2709.74,3,1,401.4
Plot Area,Ready To Move,Bangalore,2 BHK,Oceanic Towers,3753.19,3,3,369.9
Carpet Area,Immediate Possession,Pune,1 RK,Oceanic Towers,4937.35,3,2,190.89
Carpet Area,Ready To Move,Bangalore,1 BHK,Dream Homes,4756.39,3,0,21.92
Built-up Area,Immediate Possession,Pune,2 BHK,Skyline View,4889.59,2,1,43.55
Plot Area,Immediate Possession,Mumbai,3 BHK,Green Heights,2152.21,4,0,167.92
Super built-up Area,Ready To Move,Delhi,1 BHK,Sunrise Residency,4356.72,4,1,122.02
Super built-up Area,Immediate Possession,Delhi,1 RK,Luxury Enclave,3284.68,1,0,451.58
Carpet Area,Immediate Possession,Bangalore,1 BHK,Green Heights,3795.39,3,3,438.9
Plot Area,Immediate Possession,Delhi,2 BHK,Sunrise Residency,3330.7,3,2,291.73
Built-up Area,Ready To Move,Chennai,1 RK,Green Heights,2484.64,2,2,39.96
Super built-up Area,Under Construction,Bangalore,2 RK,Sunrise Residency,4902.75,4,0,329.57
Super built-up Area,Immediate Possession,Kolkata,1 RK,Green Heights,3680.72,4,2,206.8
Carpet Area,Under Construction,Bangalore,2 BHK,Dream Homes,3228.29,2,0,123.19
Carpet Area,Ready To Move,Delhi,2 RK,Green Heights,4304.82,2,0,174.25
Carpet Area,Under Construction,Hyderabad,4 BHK,Green Heights,3042.64,1,3,98.75
Super built-up Area,Immediate Possession,Ahmedabad,1 RK,Palm Meadows,4078.9,3,0,397.43
Super built-up Area,Under Construction,Ahmedabad,4 BHK,Dream Homes,3286.17,4,0,381.78
Built-up Area,Ready To Move,Bangalore,1 RK,Sunrise Residency,4823.01,3,2,101.32
Super built-up Area,Under Construction,Kolkata,2 BHK,Skyline View,687.92,1,3,107.58
Super built-up Area,Immediate Possession,Bangalore,2 RK,Green Heights,1203.35,1,1,78.07
Built-up Area,Ready To Move,Ahmedabad,1 BHK,Dream Homes,1851.4,3,2,190.54
Plot Area,Under Construction,Pune,1 RK,Luxury Enclave,4765.98,3,1,311.32
Built-up Area,Immediate Possession,Mumbai,3 BHK,Dream Homes,3514.94,4,2,458.51
Carpet Area,Under Construction,Kolkata,1 RK,Dream Homes,3668.52,3,0,125.63
Carpet Area,Under Construction,Bangalore,3 BHK,Luxury Enclave,4285.09,4,3,283.82
Carpet Area,Immediate Possession,Hyderabad,4 BHK,Palm Meadows,490.75,3,1,381.51
Plot Area,Ready To Move,Delhi,2 BHK,Sunrise Residency,3433.08,3,1,356.16
Built-up Area,Under Construction,Kolkata,1 BHK,Palm Meadows,2483.08,1,1,44.64
Plot Area,Ready To Move,Kolkata,1 RK,Sunrise Residency,1075.82,1,0,212.84
Carpet Area,Immediate Possession,Bangalore,2 RK,Luxury Enclave,3628.03,3,2,468.49
Super built-up Area,Immediate Possession,Kolkata,1 RK,Palm Meadows,2124.99,3,3,117.91
Carpet Area,Ready To Move,Chennai,2 RK,Oceanic Towers,2781.14,2,3,10.3
Carpet Area,Ready To Move,Pune,1 BHK,Sunrise Residency,2058.71,1,1,434.86
Super built-up Area,Ready To Move,Bangalore,2 RK,Skyline View,638.47,4,3,172.55
Built-up Area,Ready To Move,Chennai,1 RK,Dream Homes,2794.24,2,2,175.53
Super built-up Area,Ready To Move,Bangalore,2 RK,Dream Homes,4946.12,4,0,243.75
Built-up Area,Ready To Move,Delhi,3 BHK,Green Heights,751.4,4,2,108.11
Plot Area,Immediate Possession,Mumbai,3 BHK,Green Heights,1892.47,4,1,119.47
Super built-up Area,Under Construction,Ahmedabad,1 BHK,Palm Meadows,1380.34,2,2,365.96
Super built-up Area,Ready To Move,Chennai,3 BHK,Skyline View,1337.3,2,1,340.12
Built-up Area,Under Construction,Pune,2 BHK,Skyline View,3481.33,4,3,166.78
Super built-up Area,Immediate Possession,Delhi,3 BHK,Dream Homes,1075.1,2,0,179.87
Built-up Area,Ready To Move,Ahmedabad,2 BHK,Dream Homes,3240.52,4,1,139.8
Built-up Area,Ready To Move,Hyderabad,1 RK,Dream Homes,3777.6,2,0,461.41
Built-up Area,Under Construction,Kolkata,2 RK,Dream Homes,4690.61,2,0,156.34
Carpet Area,Ready To Move,Bangalore,1 BHK,Palm Meadows,4205.86,4,3,104.65
Plot Area,Immediate Possession,Delhi,1 RK,Dream Homes,4891.1,3,0,135.99
Super built-up Area,Ready To Move,Bangalore,1 BHK,Sunrise Residency,1777.87,3,3,408.06
Built-up Area,Under Construction,Ahmedabad,4 BHK,Skyline View,2713.95,3,0,205.17
Carpet Area,Immediate Possession,Mumbai,1 BHK,Sunrise Residency,2814.49,4,1,279.11
Built-up Area,Under Construction,Bangalore,2 RK,Luxury Enclave,1863.82,3,0,392.36
Super built-up Area,Ready To Move,Pune,3 BHK,Green Heights,3226.98,1,3,254.68
Plot Area,Immediate Possession,Mumbai,1 RK,Green Heights,4408.27,4,1,292.08
Plot Area,Immediate Possession,Kolkata,4 BHK,Luxury Enclave,572.01,4,3,76.55
Super built-up Area,Immediate Possession,Ahmedabad,1 RK,Skyline View,3609.56,1,3,173.77
Super built-up Area,Immediate Possession,Pune,4 BHK,Palm Meadows,2784.18,4,2,268.64
Carpet Area,Immediate Possession,Mumbai,1 RK,Dream Homes,1959.88,2,1,94.34
Super built-up Area,Under Construction,Chennai,1 RK,Dream Homes,4863.2,1,1,159.78
Built-up Area,Immediate Possession,Kolkata,1 RK,Green Heights,4700.14,2,3,294.2
Built-up Area,Under Construction,Hyderabad,3 BHK,Luxury Enclave,507.01,3,1,274.62
Plot Area,Immediate Possession,Ahmedabad,1 BHK,Dream Homes,1945.05,4,1,399.19
Plot Area,Immediate Possession,Ahmedabad,1 BHK,Palm Meadows,2918.68,1,2,306.7
Super built-up Area,Under Construction,Pune,2 RK,Green Heights,4577.79,2,1,356.51
Carpet Area,Under Construction,Delhi,4 BHK,Luxury Enclave,767.86,2,3,402.03
Plot Area,Ready To Move,Chennai,4 BHK,Oceanic Towers,924.67,2,3,158.41
Super built-up Area,Immediate Possession,Kolkata,2 BHK,Sunrise Residency,4399.56,1,3,473.53
Super built-up Area,Under Construction,Kolkata,3 BHK,Skyline View,4015.17,2,3,197.13
Plot Area,Under Construction,Chennai,1 RK,Sunrise Residency,405.29,2,1,231.44
Built-up Area,Ready To Move,Ahmedabad,1 RK,Sunrise Residency,3310.32,3,3,173.34
Carpet Area,Immediate Possession,Pune,3 BHK,Green Heights,1944.81,2,3,39.12
Built-up Area,Under Construction,Delhi,2 BHK,Luxury Enclave,3262.11,4,2,420.36
Super built-up Area,Ready To Move,Hyderabad,2 BHK,Oceanic Towers,875.16,1,3,386.36
Carpet Area,Ready To Move,Hyderabad,1 BHK,Luxury Enclave,1854.14,1,2,367.05
Carpet Area,Immediate Possession,Pune,2 RK,Oceanic Towers,2956.23,4,0,217.43
Built-up Area,Under Construction,Ahmedabad,3 BHK,Palm Meadows,2561.55,4,2,87.6
Carpet Area,Immediate Possession,Kolkata,2 RK,Green Heights,4616.23,3,3,278.63
Plot Area,Immediate Possession,Kolkata,3 BHK,Oceanic Towers,3479.98,4,2,294.13
Carpet Area,Immediate Possession,Kolkata,2 BHK,Green Heights,1672.1,4,3,256.87
Carpet Area,Immediate Possession,Kolkata,2 BHK,Luxury Enclave,4908.24,4,0,61.2
Super built-up Area,Immediate Possession,Ahmedabad,4 BHK,Palm Meadows,4988.74,1,2,125.8
Carpet Area,Immediate Possession,Pune,2 RK,Oceanic Towers,1429.19,2,3,447.01
Carpet Area,Under Construction,Bangalore,2 RK,Luxury Enclave,2462.66,2,1,138.11
Plot Area,Immediate Possession,Chennai,1 RK,Skyline View,4436.86,3,1,179.59
Built-up Area,Under Construction,Kolkata,3 BHK,Oceanic Towers,688.68,4,0,380.41
Super built-up Area,Immediate Possession,Delhi,2 RK,Green Heights,4898.24,4,3,56.35
Plot Area,Immediate Possession,Kolkata,1 RK,Skyline View,521.51,4,1,207.95
Carpet Area,Under Construction,Pune,4 BHK,Palm Meadows,3688.38,1,3,387.79
Built-up Area,Immediate Possession,Hyderabad,2 RK,Green Heights,2824.55,2,1,379.94
Super built-up Area,Immediate Possession,Ahmedabad,1 BHK,Skyline View,1906.92,3,3,333.15
Built-up Area,Under Construction,Mumbai,1 BHK,Sunrise Residency,1374.89,4,1,13.75
Built-up Area,Under Construction,Mumbai,1 BHK,Green Heights,4457.96,4,0,334.61
Carpet Area,Ready To Move,Bangalore,2 BHK,Sunrise Residency,2040.61,4,3,85.25
Plot Area,Ready To Move,Chennai,4 BHK,Luxury Enclave,1736.04,2,3,260.3
Carpet Area,Ready To Move,Pune,2 RK,Dream Homes,3370.23,2,1,420.63
Super built-up Area,Ready To Move,Chennai,1 BHK,Green Heights,1946.41,4,2,356.11
Plot Area,Immediate Possession,Ahmedabad,2 BHK,Dream Homes,2777.71,3,0,193.11
Super built-up Area,Ready To Move,Bangalore,2 RK,Oceanic Towers,2823.63,1,3,56.67
Plot Area,Ready To Move,Ahmedabad,1 BHK,Luxury Enclave,4116.08,2,1,457.56
Plot Area,Immediate Possession,Bangalore,3 BHK,Palm Meadows,2019.06,4,1,160.96
Built-up Area,Under Construction,Bangalore,4 BHK,Sunrise Residency,2334.22,1,3,78.41
Plot Area,Under Construction,Kolkata,4 BHK,Green Heights,2755.66,3,0,464.98
Plot Area,Ready To Move,Ahmedabad,2 RK,Skyline View,409.54,1,2,170.28
Super built-up Area,Ready To Move,Mumbai,4 BHK,Skyline View,2149.51,1,0,95.31
Carpet Area,Ready To Move,Bangalore,2 BHK,Green Heights,4420.49,3,0,374.84
Plot Area,Immediate Possession,Pune,1 RK,Luxury Enclave,1973.0,1,1,30.52
Super built-up Area,Under Construction,Kolkata,2 RK,Skyline View,3068.83,2,3,383.78
Carpet Area,Immediate Possession,Pune,1 RK,Palm Meadows,4639.89,3,0,33.05
Plot Area,Immediate Possession,Ahmedabad,2 RK,Sunrise Residency,3956.89,1,2,341.39
Built-up Area,Ready To Move,Bangalore,2 RK,Sunrise Residency,2570.03,3,1,341.78
Carpet Area,Ready To Move,Kolkata,1 BHK,Palm Meadows,4740.76,4,1,448.22
Super built-up Area,Ready To Move,Chennai,2 RK,Oceanic Towers,2229.48,2,0,41.48
Super built-up Area,Under Construction,Hyderabad,3 BHK,Luxury Enclave,3837.57,4,0,349.37
Carpet Area,Under Construction,Hyderabad,4 BHK,Green Heights,3049.3,4,1,52.59
Plot Area,Under Construction,Chennai,4 BHK,Green Heights,2172.06,2,0,162.79
Plot Area,Immediate Possession,Hyderabad,2 RK,Palm Meadows,3263.07,3,1,251.81
Built-up Area,Under Construction,Pune,3 BHK,Palm Meadows,672.23,1,2,63.0
Carpet Area,Ready To Move,Pune,4 BHK,Oceanic Towers,2362.93,4,0,51.14
Built-up Area,Immediate Possession,Kolkata,1 RK,Palm Meadows,4105.31,2,0,499.1
Carpet Area,Under Construction,Hyderabad,1 BHK,Luxury Enclave,3635.49,4,3,463.65
Super built-up Area,Ready To Move,Kolkata,1 RK,Skyline View,1111.35,3,2,50.13
Plot Area,Ready To Move,Pune,2 RK,Oceanic Towers,479.21,2,3,236.4
Plot Area,Under Construction,Ahmedabad,1 RK,Oceanic Towers,3668.33,3,1,86.46
Plot Area,Ready To Move,Mumbai,3 BHK,Oceanic Towers,1250.45,4,3,234.52
Carpet Area,Under Construction,Hyderabad,2 BHK,Dream Homes,4161.89,3,0,313.17
Super built-up Area,Under Construction,Chennai,4 BHK,Dream Homes,4868.15,4,1,243.11
Plot Area,Ready To Move,Kolkata,2 RK,Skyline View,4596.24,3,3,135.05
Built-up Area,Ready To Move,Bangalore,2 RK,Palm Meadows,3968.97,4,1,283.68
Built-up Area,Immediate Possession,Hyderabad,2 BHK,Sunrise Residency,3175.31,3,0,479.07
Super built-up Area,Ready To Move,Pune,1 RK,Oceanic Towers,3191.74,1,1,48.52
Carpet Area,Immediate Possession,Mumbai,1 RK,Skyline View,677.82,1,0,250.61
Plot Area,Under Construction,Chennai,3 BHK,Sunrise Residency,3238.06,2,0,459.62
Plot Area,Ready To Move,Mumbai,1 RK,Oceanic Towers,1383.03,4,0,70.34
Built-up Area,Ready To Move,Ahmedabad,2 RK,Sunrise Residency,1153.82,4,1,144.91
Super built-up Area,Under Construction,Ahmedabad,1 RK,Dream Homes,4872.49,1,1,48.7
Super built-up Area,Ready To Move,Pune,1 RK,Dream Homes,793.27,2,1,383.78
Plot Area,Immediate Possession,Hyderabad,2 RK,Dream Homes,4861.93,2,3,478.22
Super built-up Area,Immediate Possession,Pune,4 BHK,Green Heights,2203.82,2,2,389.5
Super built-up Area,Immediate Possession,Pune,3 BHK,Oceanic Towers,714.09,4,1,96.18
Plot Area,Under Construction,Hyderabad,1 RK,Sunrise Residency,4838.72,3,1,301.53
Built-up Area,Under Construction,Mumbai,3 BHK,Luxury Enclave,3358.0,1,3,366.08
Carpet Area,Ready To Move,Ahmedabad,2 RK,Oceanic Towers,1641.28,2,3,167.89
Built-up Area,Immediate Possession,Pune,3 BHK,Dream Homes,828.48,1,0,83.72
Super built-up Area,Ready To Move,Mumbai,4 BHK,Oceanic Towers,2395.95,4,1,170.83
Carpet Area,Immediate Possession,Mumbai,4 BHK,Dream Homes,3962.43,1,1,335.67
Built-up Area,Under Construction,Pune,1 BHK,Dream Homes,2793.14,1,2,368.5
Built-up Area,Under Construction,Mumbai,1 RK,Oceanic Towers,980.43,3,3,139.48
Built-up Area,Immediate Possession,Ahmedabad,1 RK,Oceanic Towers,2675.12,1,2,448.65
Carpet Area,Under Construction,Pune,1 BHK,Palm Meadows,628.75,1,2,499.0
Super built-up Area,Immediate Possession,Chennai,2 BHK,Dream Homes,2334.51,3,0,319.94
Built-up Area,Under Construction,Hyderabad,4 BHK,Oceanic Towers,4594.85,1,0,426.81
Super built-up Area,Ready To Move,Hyderabad,3 BHK,Dream Homes,4657.02,2,0,62.02
Carpet Area,Ready To Move,Ahmedabad,1 BHK,Oceanic Towers,3611.51,3,2,342.11
Plot Area,Immediate Possession,Delhi,2 BHK,Palm Meadows,4753.08,3,2,238.53
Super built-up Area,Immediate Possession,Delhi,2 RK,Oceanic Towers,1009.62,2,0,343.24
Carpet Area,Under Construction,Chennai,1 BHK,Dream Homes,4783.18,3,3,92.41
Carpet Area,Immediate Possession,Delhi,1 RK,Dream Homes,4690.04,2,0,289.6
Built-up Area,Ready To Move,Delhi,2 BHK,Green Heights,818.53,2,1,64.67
Built-up Area,Under Construction,Kolkata,1 RK,Green Heights,4555.7,2,2,419.42
Plot Area,Ready To Move,Kolkata,2 BHK,Dream Homes,923.61,3,2,346.45
Super built-up Area,Ready To Move,Delhi,1 RK,Skyline View,1930.01,3,2,109.99
Built-up Area,Ready To Move,Hyderabad,2 RK,Palm Meadows,553.04,2,2,225.61
Super built-up Area,Ready To Move,Mumbai,1 RK,Skyline View,2919.03,3,2,155.63
Super built-up Area,Immediate Possession,Hyderabad,1 BHK,Palm Meadows,2477.26,3,2,221.01
Carpet Area,Immediate Possession,Pune,1 RK,Green Heights,590.02,3,0,90.58
Built-up Area,Under Construction,Kolkata,1 BHK,Palm Meadows,458.45,3,1,406.61
Carpet Area,Under Construction,Chennai,2 RK,Palm Meadows,2912.16,2,1,49.19
Carpet Area,Under Construction,Chennai,1 BHK,Dream Homes,2212.04,4,2,355.64
Built-up Area,Ready To Move,Hyderabad,2 RK,Sunrise Residency,2049.15,3,3,179.38
Super built-up Area,Under Construction,Bangalore,1 BHK,Luxury Enclave,1485.8,2,3,151.24
Plot Area,Under Construction,Kolkata,3 BHK,Luxury Enclave,661.81,3,3,453.74
Plot Area,Ready To Move,Mumbai,1 RK,Skyline View,4959.93,2,0,73.3
Super built-up Area,Ready To Move,Delhi,1 BHK,Palm Meadows,4492.7,1,2,131.13
Built-up Area,Immediate Possession,Chennai,1 BHK,Oceanic Towers,4419.04,3,1,480.58
Super built-up Area,Under Construction,Hyderabad,2 RK,Sunrise Residency,3739.03,2,1,350.7
Super built-up Area,Ready To Move,Hyderabad,1 RK,Sunrise Residency,745.48,2,1,239.13
Super built-up Area,Ready To Move,Chennai,1 RK,Luxury Enclave,1918.55,1,1,340.35
Plot Area,Ready To Move,Hyderabad,1 RK,Dream Homes,2326.92,2,2,92.46
Super built-up Area,Ready To Move,Ahmedabad,1 BHK,Green Heights,3135.19,1,2,321.95
Plot Area,Under Construction,Ahmedabad,2 RK,Skyline View,1473.06,1,2,68.89
Built-up Area,Immediate Possession,Hyderabad,1 BHK,Green Heights,2259.44,1,0,253.51
Plot Area,Immediate Possession,Kolkata,2 RK,Oceanic Towers,3730.67,2,1,394.77
Plot Area,Immediate Possession,Ahmedabad,3 BHK,Dream Homes,1317.09,2,3,449.83
Built-up Area,Immediate Possession,Hyderabad,2 RK,Sunrise Residency,4084.3,3,3,297.05
Built-up Area,Immediate Possession,Kolkata,3 BHK,Luxury Enclave,698.43,4,0,352.91
Plot Area,Under Construction,Pune,2 BHK,Luxury Enclave,2557.05,3,2,292.36
Super built-up Area,Immediate Possession,Mumbai,1 BHK,Palm Meadows,2266.29,3,0,429.12
Carpet Area,Ready To Move,Delhi,1 RK,Oceanic Towers,2488.41,1,2,310.43
Built-up Area,Immediate Possession,Chennai,4 BHK,Dream Homes,1021.65,3,3,87.37
Super built-up Area,Ready To Move,Hyderabad,1 BHK,Oceanic Towers,1228.4,2,0,178.24
Plot Area,Ready To Move,Delhi,4 BHK,Luxury Enclave,3105.84,4,0,203.66
Plot Area,Immediate Possession,Ahmedabad,2 BHK,Palm Meadows,1481.51,3,2,221.78
Carpet Area,Ready To Move,Hyderabad,4 BHK,Dream Homes,1092.85,4,1,191.35
Built-up Area,Ready To Move,Bangalore,2 RK,Palm Meadows,3981.84,3,3,43.27
Built-up Area,Immediate Possession,Pune,4 BHK,Luxury Enclave,1416.93,2,2,346.53
Super built-up Area,Under Construction,Chennai,1 RK,Sunrise Residency,968.03,2,1,284.54
Plot Area,Immediate Possession,Pune,1 RK,Green Heights,4743.87,4,2,297.09
Carpet Area,Ready To Move,Pune,2 BHK,Skyline View,1398.44,1,2,382.67
Super built-up Area,Immediate Possession,Hyderabad,3 BHK,Palm Meadows,1017.5,1,2,483.74
Built-up Area,Under Construction,Ahmedabad,2 BHK,Sunrise Residency,348.82,1,2,134.12
Carpet Area,Ready To Move,Chennai,1 RK,Oceanic Towers,876.24,2,2,13.59
